"term","prop_connected","prop_connected_std","wilcox_effect_size","wilcox_p_value","wilcox_adj_p_value","fold_change","log_fold_change","de_label","plot_label","de_color","label_color","nudge_x","nudge_y"
"fear",0.0776029526029526,1.62392087027215,968099.831207905,0.253411869043898,79.31791501074,0.23993228993229,0.293552942688704,"fear",NA,"#F8766D","darkred",-3,1
"feel",0.153333333333333,1.96965250965251,12900.613429076,0.445541049251574,139.454348415743,1.85600240456868,0.609899897444148,NA,NA,"#BDBDBD","#BDBDBD",0,1
"finger",0.129333586481868,2.58382140266256,2602378.59051417,1.40165857843873e-22,4.38719135051323e-20,1.04637222077115,0.666725095659184,"finger",NA,"#00A9FF","darkblue",2,1
"fixation",0.170886075949367,1.94299621088441,218792.694097013,0.901045937493997,282.027378435621,1.61476445972461,0.529291938417945,NA,NA,"#BDBDBD","#BDBDBD",0,1
"flexibility",0.142857142857143,1.91220779220779,2921.92127857317,0.00211004136953238,0.660442948663635,1.71297813840601,0.521459454248868,NA,NA,"#BDBDBD","#BDBDBD",0,1
"fluency",0.172946859903382,3.27463120120483,81149.3700995569,0.20153267228276,63.079726424504,2.33888416842976,0.881353542019732,NA,NA,"#BDBDBD","#BDBDBD",0,1
"food",0.105278255880666,2.46515570150696,323145.218019752,0.951759046180505,297.900581454498,0.471684513809772,0.503834598215841,NA,NA,"#BDBDBD","#BDBDBD",0,1
"foot",0.174750601995184,4.04262408126782,1165588.57734809,1.45343595746355e-08,4.5492545468609e-06,1.5785581640549,0.837963625723868,"foot",NA,"#00A9FF","darkblue",2,1
"force",0.151014791881665,2.735209719812,1104952.9009205,7.73367437149887e-09,2.42064007827915e-06,1.4157469945998,0.729638997759693,"force",NA,"#00A9FF","darkblue",2,1
"gain",0.0885307983615426,1.35957678946962,2664368.72546194,0.852570838690756,266.854672510207,0.392688347250823,0.272282345756827,"gain",NA,"#F8766D","darkred",-3,1
"gamble",0.0963265306122449,2.45167919799499,82597.0406170159,0.396707873891811,124.169564528137,0.577523612581341,0.610893370767163,NA,NA,"#BDBDBD","#BDBDBD",0,1
"game",0.103047895500726,1.55903027137603,77955.5941952347,0.730407702819271,228.617610982432,0.790763390731601,0.448103442799909,"game",NA,"#F8766D","darkred",-3,1
"gaze",0.117447686413204,1.57971027221998,489433.209710269,0.938532747685966,293.760750025707,1.03128737112336,0.444963077757854,"gaze",NA,"#F8766D","darkred",-3,1
"german",0.207661290322581,3.11687611611383,31403.7823568899,0.78536966867485,245.820706295228,2.25416009548569,0.698447499301087,NA,NA,"#BDBDBD","#BDBDBD",0,1
"gestures",0.125279642058166,2.05292863955962,950819.199163538,0.0325823070185496,10.198262096806,0.885527742252242,0.430464583441257,"gestures",NA,"#F8766D","darkred",-3,1
"goal",0.110556110556111,1.56336359688315,221801.506125642,0.76481947147145,239.388494570564,0.677188737546053,0.372392286763572,"goal",NA,"#F8766D","darkred",-3,1
"grasp",0.177477017364658,2.79137531414219,303585.224617335,4.15049424801075e-05,0.0129910469962736,2.31766632826068,0.721067210344621,NA,NA,"#BDBDBD","#BDBDBD",0,1
"hand",0.131875497465544,2.57024641080055,2296335.93990054,8.04737779932762e-18,2.51882925118954e-15,1.08268714557815,0.629480255923342,"hand","hand","#00A9FF","darkblue",2,1
"handedness",0.15,2.54969135802469,14632.4092446858,0.416839469158925,130.470753846744,1.68709034418755,0.641180737940975,NA,NA,"#BDBDBD","#BDBDBD",0,1
"happy",0.0985994397759104,1.87655751955955,271840.756595698,0.11985227762963,37.5137628980742,0.394618180811546,0.360030439816215,"happy",NA,"#F8766D","darkred",-3,1
"head",0.121212121212121,1.49537480063796,2025.1943304298,0.826830050876632,258.797805924386,2.6074568207674,0.725277531601339,NA,NA,"#BDBDBD","#BDBDBD",0,1
"hear",0.127667505358308,2.24314288572318,1031722.05689362,0.000106614642859525,0.0333703832150314,1.09413968468562,0.57178449209225,NA,NA,"#BDBDBD","#BDBDBD",0,1
"heart",0.0665807560137457,1.36687222090179,370904.164736372,0.152234372128031,47.6493584760737,0.268301049379254,0.279231753418662,"heart",NA,"#F8766D","darkred",-3,1
"illusion",0.26008064516129,2.04030612244898,20611.3963447211,0.124678879088379,39.0244891546626,3.08164238640305,0.555438185516063,NA,NA,"#BDBDBD","#BDBDBD",0,1
"image",0.47953216374269,7.96865629607541,9194.19765733801,0.883934927046085,276.671632165425,3.21941089796887,1.06795174026865,NA,NA,"#BDBDBD","#BDBDBD",0,1
"imagery",0.108540925266904,2.04362688587038,3647925.04638546,7.1931910328922e-09,2.25146879329526e-06,0.738137352796304,0.509871096235063,"imagery",NA,"#00A9FF","darkblue",2,1
"imagine",0.101244813278008,1.69140188395912,2679426.19338651,0.000365429018836514,0.114379282895829,0.670097956471102,0.434696393244007,"imagine",NA,"#F8766D","darkred",-3,1
"imitation",0.144876957494407,2.22366590903504,906629.439603004,0.0359283451922301,11.245572045168,1.08880242433138,0.481886966543358,"imitation",NA,"#F8766D","darkred",-3,1
"implicit",0.138095238095238,2.07696540880503,8853.53662922325,0.773077137495367,241.97314403605,0.715958392138414,0.399468207238206,"implicit",NA,"#F8766D","darkred",-3,1
